Fold,Precision,Recall,F1
1,0.78369384359401,0.5996180776575429,0.6794085827623513
2,0.7638773819386909,0.5914047466324567,0.6794085827623513
3,0.7879581151832461,0.5758928571428571,0.6794085827623513
4,0.7920203735144312,0.5923809523809523,0.6794085827623513
5,0.7836206896551724,0.579719387755102,0.6794085827623513
